ts,smClockMHz,memClockMHz,tempC,utilGpuPct,utilMemPct,powerW,pstate,clockThrottleReasons
21:29:26.213,210,405,50,19,31,8.28,P8,0x0000000000000001
21:29:27.316,210,405,50,7,29,8.26,P8,0x0000000000000001
21:29:28.430,210,405,50,7,30,8.25,P8,0x0000000000000001
21:29:29.546,210,405,50,7,30,8.21,P8,0x0000000000000001
21:29:30.654,210,405,50,19,31,8.18,P8,0x0000000000000001
21:29:31.874,210,405,50,4,30,8.15,P8,0x0000000000000001
21:29:33.201,210,405,50,18,31,8.01,P8,0x0000000000000001
21:29:34.342,210,405,50,18,31,7.97,P8,0x0000000000000001
21:29:35.472,210,405,50,22,32,8.13,P8,0x0000000000000001
21:29:36.573,210,405,49,21,31,8.22,P8,0x0000000000000001
21:29:37.687,210,405,49,18,31,8.20,P8,0x0000000000000001
21:29:38.810,210,405,49,19,31,8.19,P8,0x0000000000000001
21:29:39.946,210,405,49,31,26,8.05,P8,0x0000000000000001
21:29:41.074,210,405,49,18,31,8.12,P8,0x0000000000000001
21:29:42.177,210,405,49,19,31,8.15,P8,0x0000000000000001
21:29:43.292,210,405,49,17,31,8.14,P8,0x0000000000000001
21:29:44.394,210,405,49,19,31,7.99,P8,0x0000000000000001
21:29:45.507,210,405,49,9,30,8.12,P8,0x0000000000000001
21:29:46.634,210,405,49,18,31,8.09,P8,0x0000000000000001
21:29:47.762,210,405,49,19,30,8.09,P8,0x0000000000000001
21:29:48.866,210,405,48,19,30,8.10,P8,0x0000000000000001
21:29:49.979,210,405,48,19,30,8.06,P8,0x0000000000000001
21:29:51.094,210,405,48,19,30,8.06,P8,0x0000000000000001
21:29:52.218,210,405,48,7,29,8.04,P8,0x0000000000000001
21:29:53.346,210,405,48,7,29,8.05,P8,0x0000000000000001
21:29:54.474,210,405,48,6,26,7.99,P8,0x0000000000000001
21:29:55.586,210,405,48,19,31,7.90,P8,0x0000000000000001
21:29:56.687,210,405,48,20,31,8.02,P8,0x0000000000000001
21:29:58.180,210,405,48,14,31,7.91,P8,0x0000000000000001
21:29:59.615,210,405,48,14,30,8.01,P8,0x0000000000000001
21:30:00.809,210,405,48,29,32,8.03,P8,0x0000000000000001
21:30:01.913,210,405,48,19,31,8.06,P8,0x0000000000000001
21:30:03.026,210,405,48,19,31,8.06,P8,0x0000000000000001
21:30:04.129,210,405,48,31,32,8.04,P8,0x0000000000000001
21:30:05.259,210,405,48,19,31,8.03,P8,0x0000000000000001
21:30:06.359,210,405,48,19,31,8.02,P8,0x0000000000000001
21:30:07.472,210,405,48,19,31,8.03,P8,0x0000000000000001
21:30:08.579,210,405,48,19,31,8.01,P8,0x0000000000000001
21:30:09.683,225,405,48,41,24,7.87,P8,0x0000000000000001
21:30:10.810,225,405,48,18,31,7.94,P8,0x0000000000000001
21:30:11.914,210,405,48,19,31,7.97,P8,0x0000000000000001
21:30:13.029,210,405,48,19,30,7.96,P8,0x0000000000000001
21:30:14.147,210,405,48,14,30,7.96,P8,0x0000000000000001
21:30:15.244,210,405,47,19,31,7.95,P8,0x0000000000000001
21:30:16.348,210,405,47,19,31,7.92,P8,0x0000000000000001
21:30:17.450,210,405,47,19,31,7.91,P8,0x0000000000000001
21:30:18.564,210,405,47,31,31,7.93,P8,0x0000000000000001
21:30:19.680,210,405,47,18,31,7.89,P8,0x0000000000000001
21:30:20.791,210,405,47,28,31,7.88,P8,0x0000000000000001
21:30:21.898,210,405,47,19,31,7.89,P8,0x0000000000000001
21:30:22.998,210,405,47,19,31,7.89,P8,0x0000000000000001
21:30:24.109,210,405,47,6,25,7.89,P8,0x0000000000000001
21:30:25.228,225,405,47,6,30,7.80,P8,0x0000000000000001
21:30:26.358,225,405,47,16,31,7.88,P8,0x0000000000000001
21:30:27.468,210,405,47,12,30,7.91,P8,0x0000000000000001
21:30:28.583,210,405,47,19,31,7.92,P8,0x0000000000000001
21:30:29.691,225,405,47,19,31,7.90,P8,0x0000000000000001
21:30:30.804,210,405,47,17,31,7.96,P8,0x0000000000000001
21:30:31.916,210,405,47,18,31,7.95,P8,0x0000000000000001
21:30:33.017,210,405,47,18,31,7.97,P8,0x0000000000000001
21:30:34.150,210,405,48,19,31,7.91,P8,0x0000000000000001
21:30:35.260,210,405,48,19,31,7.98,P8,0x0000000000000001
21:30:36.375,210,405,48,7,30,7.94,P8,0x0000000000000001
21:30:37.484,210,405,48,7,30,7.94,P8,0x0000000000000001
21:30:38.592,210,405,48,16,31,7.97,P8,0x0000000000000001
21:30:39.724,315,405,48,21,29,7.95,P8,0x0000000000000001
21:30:40.847,315,405,48,17,30,8.00,P8,0x0000000000000001
21:30:41.954,210,405,48,7,30,8.04,P8,0x0000000000000001
21:30:43.071,210,405,48,19,31,8.06,P8,0x0000000000000001
21:30:44.184,210,405,48,19,31,7.99,P8,0x0000000000000001
21:30:45.291,210,405,48,19,31,7.99,P8,0x0000000000000001
21:30:46.413,210,405,48,30,32,8.02,P8,0x0000000000000001
21:30:47.525,210,405,48,19,31,8.02,P8,0x0000000000000001
21:30:48.637,210,405,48,19,31,8.00,P8,0x0000000000000001
21:30:49.737,210,405,48,19,31,7.98,P8,0x0000000000000001
21:30:50.851,210,405,48,19,31,8.00,P8,0x0000000000000001
21:30:51.974,210,405,48,31,32,7.96,P8,0x0000000000000001
21:30:53.092,210,405,48,28,31,7.97,P8,0x0000000000000001
21:30:54.210,210,405,48,17,29,7.91,P8,0x0000000000000001
21:30:55.340,210,405,48,15,30,7.81,P8,0x0000000000000001
21:30:56.454,210,405,48,19,31,7.93,P8,0x0000000000000001
21:30:57.567,210,405,48,19,31,7.95,P8,0x0000000000000001
