ts,availMB,commitUsedMB,benchProcs,benchWsMB,benchPrivMB,detail
11:06:43,8382,31681,4,2445,2815,gradle#18952:ws674/pv749|gradle#10388:ws100/pv197|gradle#26024:ws1136/pv1208|client#42904:ws535/pv661
11:06:54,8377,31722,4,2446,2813,gradle#18952:ws675/pv749|gradle#10388:ws100/pv197|gradle#26024:ws1136/pv1208|client#42904:ws535/pv659
11:07:04,8379,31674,4,2455,2819,gradle#18952:ws675/pv749|gradle#10388:ws100/pv197|gradle#26024:ws1136/pv1208|client#42904:ws544/pv665
11:07:14,8498,31507,4,2433,2792,gradle#18952:ws647/pv720|gradle#10388:ws100/pv197|gradle#26024:ws1139/pv1211|client#42904:ws547/pv664
11:07:25,10206,29482,1,647,720,gradle#18952:ws647/pv720
11:07:35,10185,29484,1,647,720,gradle#18952:ws647/pv720
11:07:46,10188,29502,1,647,720,gradle#18952:ws647/pv720
11:07:57,9946,30182,3,865,1332,gradle#18952:ws647/pv720|gradle#27720:ws105/pv204|gradle#39648:ws113/pv408
11:08:07,9507,30429,3,1270,1539,gradle#18952:ws647/pv720|gradle#27720:ws99/pv201|gradle#39648:ws524/pv618
11:08:18,9220,30658,3,1436,1689,gradle#18952:ws742/pv820|gradle#27720:ws98/pv196|gradle#39648:ws596/pv673
11:08:29,8766,31071,3,1872,2107,gradle#18952:ws754/pv828|gradle#27720:ws99/pv197|gradle#39648:ws1019/pv1082
11:08:39,8733,31120,3,1888,2130,gradle#18952:ws754/pv828|gradle#27720:ws100/pv197|gradle#39648:ws1034/pv1105
11:08:50,8590,31882,4,1957,2751,gradle#18952:ws754/pv828|gradle#27720:ws99/pv196|gradle#39648:ws1000/pv1064|client#48964:ws104/pv663
11:09:00,8519,31885,4,2024,2700,gradle#18952:ws754/pv828|gradle#27720:ws99/pv197|gradle#39648:ws946/pv1008|client#48964:ws225/pv667
11:09:11,8409,31742,4,2165,2702,gradle#18952:ws754/pv828|gradle#27720:ws99/pv197|gradle#39648:ws952/pv1016|client#48964:ws360/pv661
11:09:21,8461,31677,4,2152,2670,gradle#18952:ws726/pv799|gradle#27720:ws99/pv197|gradle#39648:ws952/pv1016|client#48964:ws375/pv658
11:09:32,8383,31636,4,2286,2676,gradle#18952:ws726/pv799|gradle#27720:ws100/pv197|gradle#39648:ws955/pv1019|client#48964:ws505/pv661
11:09:42,8323,31689,4,2322,2682,gradle#18952:ws726/pv799|gradle#27720:ws100/pv197|gradle#39648:ws964/pv1028|client#48964:ws532/pv658
11:09:53,8340,31677,4,2324,2682,gradle#18952:ws726/pv799|gradle#27720:ws100/pv197|gradle#39648:ws964/pv1028|client#48964:ws534/pv658
11:10:03,8320,31695,4,2327,2685,gradle#18952:ws726/pv799|gradle#27720:ws100/pv197|gradle#39648:ws964/pv1028|client#48964:ws537/pv661
11:10:14,8363,31643,4,2325,2682,gradle#18952:ws726/pv799|gradle#27720:ws100/pv197|gradle#39648:ws964/pv1028|client#48964:ws535/pv658
11:10:24,8388,31618,4,2325,2682,gradle#18952:ws726/pv799|gradle#27720:ws100/pv197|gradle#39648:ws964/pv1028|client#48964:ws535/pv658
11:10:35,8386,31611,4,2325,2683,gradle#18952:ws726/pv799|gradle#27720:ws99/pv196|gradle#39648:ws964/pv1028|client#48964:ws536/pv660
11:10:45,8353,31654,4,2339,2693,gradle#18952:ws726/pv799|gradle#27720:ws100/pv197|gradle#39648:ws968/pv1032|client#48964:ws545/pv665
11:10:56,9787,30326,3,955,1417,gradle#18952:ws726/pv799|gradle#47752:ws104/pv203|gradle#47240:ws125/pv415
11:11:06,8994,31827,4,1763,2885,gradle#18952:ws726/pv799|gradle#47752:ws98/pv196|gradle#47240:ws538/pv614|client#9204:ws401/pv1276
11:11:17,8581,31607,4,2524,3105,gradle#18952:ws726/pv799|gradle#47752:ws99/pv198|gradle#47240:ws535/pv607|client#9204:ws1164/pv1501
11:11:27,7260,32840,4,3507,4008,gradle#18952:ws726/pv799|gradle#47752:ws116/pv214|gradle#47240:ws531/pv602|client#9204:ws2134/pv2393
