ts,smClockMHz,memClockMHz,tempC,utilGpuPct,utilMemPct,powerW,pstate,clockThrottleReasons
17:43:37.991,2340,8001,53,100,3,40.92,P0,0x0000000000000000
17:43:39.099,2340,7001,53,97,3,32.20,P3,0x0000000000000000
17:43:40.199,2340,8001,56,100,4,51.03,P0,0x0000000000000000
17:43:41.309,2340,7001,53,95,3,34.25,P3,0x0000000000000000
17:43:42.423,2340,8001,56,100,4,42.43,P0,0x0000000000000000
17:43:43.537,2340,8001,54,95,2,47.47,P0,0x0000000000000000
17:43:44.641,2340,8001,55,96,3,34.17,P0,0x0000000000000000
17:43:45.760,2340,8001,56,100,4,40.27,P0,0x0000000000000000
17:43:46.873,2340,7001,53,96,2,32.32,P3,0x0000000000000000
17:43:47.995,2340,8001,56,100,4,50.98,P0,0x0000000000000000
17:43:49.110,2340,8001,53,96,2,33.79,P0,0x0000000000000000
17:43:50.219,2340,8001,56,100,4,50.67,P0,0x0000000000000000
17:43:51.329,2340,8001,54,96,2,41.52,P0,0x0000000000000000
17:43:52.448,2340,7001,53,97,2,32.58,P3,0x0000000000000000
17:43:53.560,2340,8001,56,100,4,49.18,P0,0x0000000000000000
17:43:54.667,2340,7001,54,96,2,33.10,P3,0x0000000000000000
17:43:55.792,2340,8001,55,100,3,48.54,P0,0x0000000000000000
17:43:56.921,2340,8001,56,100,3,47.82,P0,0x0000000000000000
17:43:58.074,2340,7001,54,98,3,34.17,P3,0x0000000000000000
17:43:59.184,2340,8001,56,100,3,44.67,P0,0x0000000000000000
17:44:00.302,2340,8001,54,97,2,35.40,P0,0x0000000000000000
17:44:01.425,2340,7001,54,95,2,32.49,P3,0x0000000000000000
17:44:02.535,2340,8001,56,100,3,47.24,P0,0x0000000000000000
17:44:03.640,2340,7001,54,96,2,34.13,P3,0x0000000000000000
17:44:04.749,2340,8001,56,100,4,52.47,P0,0x0000000000000000
17:44:05.858,2340,8001,55,96,2,35.29,P0,0x0000000000000000
17:44:06.966,2340,7001,54,96,2,32.39,P3,0x0000000000000000
17:44:08.074,2340,8001,56,100,4,50.08,P0,0x0000000000000000
17:44:09.216,2340,7001,54,96,3,34.78,P3,0x0000000000000000
17:44:10.323,2340,8001,56,100,3,50.01,P0,0x0000000000000000
17:44:11.434,2340,8001,55,95,2,35.51,P0,0x0000000000000000
17:44:12.604,2340,7001,54,92,3,32.37,P3,0x0000000000000000
17:44:13.715,2340,8001,56,100,3,46.66,P0,0x0000000000000000
17:44:14.824,2340,8001,54,96,2,34.85,P0,0x0000000000000000
17:44:15.951,2340,8001,54,95,2,33.57,P0,0x0000000000000000
17:44:17.061,2340,8001,56,100,3,46.70,P0,0x0000000000000000
17:44:18.174,2340,7001,54,96,3,29.86,P3,0x0000000000000000
17:44:19.290,2340,8001,57,100,4,52.69,P0,0x0000000000000000
17:44:20.398,2340,8001,54,96,2,35.91,P0,0x0000000000000000
17:44:21.511,2340,8001,54,96,2,33.51,P0,0x0000000000000000
17:44:22.621,2340,8001,56,100,3,46.98,P0,0x0000000000000000
17:44:23.734,2340,8001,56,100,3,45.92,P0,0x0000000000000000
17:44:24.850,2340,8001,56,100,3,46.19,P0,0x0000000000000000
17:44:25.962,2340,8001,56,100,3,46.01,P0,0x0000000000000000
17:44:27.087,2340,8001,56,100,3,46.78,P0,0x0000000000000000
17:44:28.215,2340,8001,57,100,3,45.38,P0,0x0000000000000000
17:44:29.328,2340,8001,57,100,3,45.03,P0,0x0000000000000000
